index,disease_name,description,Possible Steps,image_url
19, Bacterial Spot,"Bacterial spot is an important disease of peaches, nectarines, apricots, and plums caused by Xanthomonas campestris pv. pruni. Symptoms of this disease include fruit spots, leaf spots, and twig cankers. Fruit symptoms include pitting, cracking, gumming, and watersoaked tissue, which can make the fruit more susceptible to brown rot, rhizopus, and other fungal infections. Severe leaf spot infections can cause early defoliation. Severe defoliation can result in reduced fruit size, and sunburn and cracking of fruit. Early defoliated trees are reduced in vigor and winter hardiness.","Select resistant varieties
Purchase disease-free seed and transplants.
Treat seeds by soaking them for 2 minutes in a 10% chlorine bleach solution (1 part bleach; 9 parts water). Thoroughly rinse seeds and dry them before planting.
Mulch plants deeply with a thick organic material like newspaper covered with straw or grass clippings.
Avoid overhead watering.
Remove and discard badly infected plant parts and all debris at the end of the season.
Spray every 10-14 days with fixed copper (organic fungicide) to slow down the spread of infection.
Rotate peppers to a different location if infections are severe and cover the soil with black plastic mulch or black landscape fabric prior to planting.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Red, Orange, and Yellow Bell Peppers are full of great health benefits�they're packed with vitamins and low in calories! They are an excellent source of vitamin A, vitamin C, and potassium. Bell Peppers also contain a healthy dose of fiber, folate, and iron.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21, Early Blight,"Early blight can cause significant yield losses if not managed properly. The defoliation reduces the photosynthetic capacity of the plant, leading to smaller, fewer fruits or tubers. Severe infestations can lead to complete crop failure, especially in susceptible varieties.

By employing a combination of cultural, biological, and chemical management strategies, farmers and gardeners can effectively control early blight and mitigate its impact on crop yields.",Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22, Late Blight,"Early blight initially manifests as small, dark brown to black spots on the older leaves. These spots typically have a concentric ring pattern, resembling a target or bullseye.
As the disease progresses, the spots enlarge and merge, causing significant leaf blight and defoliation.
On fruits, especially tomatoes, early blight causes leathery, sunken spots that are often concentrated at the stem end.
These spots can become covered with a dark, velvety fungal growth in humid conditions.",The severe late blight can be effectively managed with prophylactic spray of mancozeb at 0.25% followed by cymoxanil+mancozeb or dimethomorph+mancozeb at 0.3% at the onset of disease and one more spray of mancozeb at 0.25% seven days after application of systemic fungicides in West Bengal ,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","Packed With Nutrients. Share on Pinterest.
Contain Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids (4).
May Improve Blood Sugar Control.
May Improve Digestive Health.
Naturally Gluten-Free.
Incredibly Filling.
Extremely Versatile.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","They provide potassium, essential to heart function, and proven to lower blood pressure. The omega-3 fatty acids in raspberries can help prevent stroke and heart disease. They also contain a mineral called manganese, which is necessary for healthy bones and skin and helps regulate blood sugar.",https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","high in fibre
high in protein
low in saturated fat
cholesterol free
lactose free
a good source of omega-3 fatty acids
a source of antioxidants
high in phytoestrogens.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26, Powdery Mildew," Powdery mildew can significantly reduce the aesthetic and economic value of crops, especially in severe infestations. Infected plants may experience reduced photosynthesis, stunted growth, and lower yields. In ornamental plants, powdery mildew reduces the visual appeal, making them less marketable.

Effective management of powdery mildew involves an integrated approach combining cultural practices, resistant varieties, and, when necessary, chemical or biological treatments.","Combine one tablespoon baking soda and one-half teaspoon of liquid, non-detergent soap with one gallon of water, and spray the mixture liberally on the plants. Mouthwash. The mouthwash you may use on a daily basis for killing the germs in your mouth can also be effective at killing powdery mildew spores.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,Leaf Scorch,"The most characteristic symptom of leaf scorch is the browning or yellowing of leaf margins. The discoloration often progresses inward from the edges.
Leaves may also exhibit a reddish or purplish tint around the affected areas
Leaf scorch primarily affects the aesthetic appearance of plants but can also lead to reduced photosynthesis and overall plant health if severe. While leaf scorch is not typically fatal, chronic stress can weaken plants and make them more susceptible to other diseases and environmental challenges.","While leaf scorch on strawberry plants can be frustrating, there are some strategies which home gardeners may employ to help prevent its spread in the garden. The primary means of strawberry leaf scorch control should always be prevention. Since this fungal pathogen overwinters on the fallen leaves of infected plants, proper garden sanitation is key. This includes the removal of infected garden debris from the strawberry patch, as well as the frequent establishment of new strawberry transplants. The creation of new plantings and strawberry patches is key to maintaining a consistent strawberry harvest, as older plants are more likely to show signs of severe infection.",https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer.

Packed with vitamins, fiber, and particularly high levels of antioxidants known as polyphenols, strawberries are a sodium-free, fat-free, cholesterol-free, low-calorie food. They are among the top 20 fruits in antioxidant capacity and are a good source of manganese and potassium. Just one serving -- about eight strawberries -- provides more vitamin C than an orange.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29, Bacterial Spot,"Initial symptoms are small, water-soaked spots on the undersides of leaves, which eventually turn dark brown or black.
The spots can be surrounded by a yellow halo and may merge to form larger necrotic areas.
The bacteria can be spread through infected seeds, transplants, and plant debris.
Bacterial spot is primarily disseminated by splashing water (rain or irrigation), wind-driven rain, and human activity (e.g., handling plants).","Plant pathogen-free seed or transplants to prevent the introduction of bacterial spot pathogens on contaminated seed or seedlings.  If a clean seed source is not available or you suspect that your seed is contaminated, soak seeds in water at 122�F for 25 min. to kill the pathogens.  To keep leaves dry and to prevent the spread of the pathogens, avoid overhead watering (e.g., with a wand or sprinkler) of established plants and instead use a drip-tape or soaker-hose.  Also to prevent spread, DO NOT handle plants when they are wet (e.g., from dew) and routinely sterilize tools with either 10% bleach solution or (better) 70% alcohol (e.g., rubbing alcohol).  Where bacterial spot has been a recurring problem, consider using preventative applications of copper-based products registered for use on tomato, especially during warm, wet periods.  Keep in mind however, that if used excessively or for prolonged periods, copper may no longer control the disease.  Be sure to read and follow all label instructions of the product that you select to ensure that you use it in the safest and most effective manner possible.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30, Early Blight,"Early symptoms appear as small, irregular brown spots on older leaves. These spots often have concentric rings, creating a target or bullseye pattern.
The spots gradually enlarge, and as they merge, they cause significant leaf blight.
Infected leaves may turn yellow and eventually die, typically from the bottom of the plant upwards.
Alternaria solani produces spores (conidia) that are spread by wind rain and irrigation water.
The fungus overwinters in infected plant debris soil and seed producing new spores each growing season.","Prune or stake plants to improve air circulation and reduce fungal problems.
Make sure to disinfect your pruning shears (one part bleach to 4 parts water) after each cut.
Keep the soil under plants clean and free of garden debris. Add a layer of organic compost to prevent the spores from splashing back up onto vegetation.
Drip irrigation and soaker hoses can be used to help keep the foliage dry.
For best control, apply copper-based fungicides early, two weeks before disease normally appears or when weather forecasts predict a long period of wet weather. Alternatively, begin treatment when disease first appears, and repeat every 7-10 days for as long as needed.
Containing copper and pyrethrins, Bonide� Garden Dust is a safe, one-step control for many insect attacks and fungal problems. For best results, cover both the tops and undersides of leaves with a thin uniform film or dust. Depending on foliage density, 10 oz will cover 625 sq ft. Repeat applications every 7-10 days, as needed.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31, Late Blight,"Late blight can cause catastrophic losses in both home gardens and commercial agriculture. The rapid spread and severity of the disease can lead to complete crop failure if not managed properly.
Phytophthora infestans produces two types of spores: sporangia and zoospores. Sporangia are spread by wind, rain, and irrigation water. Zoospores are motile and require water for dispersal.
The pathogen survives between seasons in infected tubers, plant debris, and soil.
","Sanitation is the first step in controlling tomato late blight. Clean up all debris and fallen fruit from the garden area. This is particularly essential in warmer areas where extended freezing is unlikely and the late blight tomato disease may overwinter in the fallen fruit. Currently, there are no strains of tomato available that are resistant to late tomato blight, so plants should be inspected at least twice a week. Since late blight symptoms are more likely to occur during wet conditions, more care should be taken during those times. For the home gardener, fungicides that contain maneb, mancozeb, chlorothanolil or fixed copper can help protect plants from late tomato blight. Repeated applications are necessary throughout the growing season as the disease can strike at any time. For organic gardeners, there are some fixed copper products approved for use; otherwise, all infected plants must be immediately removed and destroyed.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
32, Leaf Mold,"Leaf mold can significantly reduce the photosynthetic capacity of tomato plants, leading to reduced fruit size, yield, and quality. In severe cases, it can cause almost complete defoliation, severely impacting plant health and productivity.
The fungus produces conidia (spores) on the undersides of infected leaves. These spores are spread by air currents, water splash, and contact with infected plants.
The spores can survive on plant debris, greenhouse structures, and in the soil, providing a source of inoculum for new infections.","When treating tomato plants with fungicide, be sure to cover all areas of the plant that are above the soil, especially the underside of leaves, where the disease often forms. Calcium chloride-based sprays are recommended for treating leaf mold issues. Organic fungicide options are also available.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33, Septoria Leaf Spot,"Septoria leaf spot can cause significant defoliation, reducing the photosynthetic capacity of the plant and leading to lower yields and fruit quality. The premature loss of leaves also exposes fruits to sunscald, further reducing marketability.
The fungus produces spores (conidia) in the fruiting bodies (pycnidia) on infected plant debris and lesions.
Spores are spread by rain splash, irrigation water, wind, and human activity.","Remove diseased leaves. 
Improve air circulation around the plants.
Mulch around the base of the plants. Mulching will reduce splashing soil, which may contain fungal spores associated with debris. Apply mulch after the soil has warmed.
Do not use overhead watering. Overhead watering facilitates infection and spreads the disease. Use a soaker hose at the base of the plant to keep the foliage dry. Water early in the day.
Control weeds. Nightshade and horsenettle are frequently hosts of Septoria leaf spot and should be eradicated around the garden site.
Use crop rotation. Next year do not plant tomatoes back in the same location where diseased tomatoes grew. Wait 1�2 years before replanting tomatoes in these areas.
Use fungicidal sprays.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34, Spider Mites | Two-Spotted Spider Mite,"Two-spotted spider mites can cause severe damage to a wide range of plants, reducing their vigor, yield, and aesthetic value. In commercial agriculture and horticulture, infestations can lead to significant economic losses.
Two-spotted spider mites reproduce rapidly, especially in hot, dry conditions. Females can lay several hundred eggs during their lifetime.
The entire life cycle from egg to adult can be as short as one week under optimal conditions (high temperatures and low humidity).","Avoid weedy fields and do not plant eggplant adjacent to legume forage crops.
Avoid early season, broad-spectrum insecticide applications for other pests.
Do not over-fertilize.
Overhead irrigation or prolonged periods of rain can help reduce populations.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35, Target Spot,"Target spot, also known as target leaf spot or target blight, is a fungal disease that affects a variety of plants, including vegetables, ornamentals, and field crops. It is caused by several species of fungi, with different pathogens affecting different host plants. Target spot gets its name from the characteristic concentric rings that form within the lesions on infected plant tissue, resembling a target. 
The fungi that cause target spot produce spores (conidia) on infected plant tissue, such as leaves and stems.
Spores are spread by wind, rain, irrigation water, and human activity.","Cultural control is important. The following should be done:
Do not plant new crops next to older ones that have the disease.
Plant as far as possible from papaya, especially if leaves have small angular spots (Photo 5).
Check all seedlings in the nursery, and throw away any with leaf spots.
Remove a few branches from the lower part of the plants to allow better airflow at the base
Remove and burn the lower leaves as soon as the disease is seen, especially after the lower fruit trusses have been picked.
Keep plots free from weeds, as some may be hosts of the fungus.
Do not use overhead irrigation; otherwise, it will create conditions for spore production and infection.
Collect and burn as much of the crop as possible when the harvest is complete.
Practise crop rotation, leaving 3 years before replanting tomato on the same land.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36, Yellow Leaf Curl Virus,"
Yellow leaf curl virus, often referred to as Tomato Yellow Leaf Curl Virus (TYLCV), is a highly destructive viral disease that affects tomatoes and other plants in the Solanaceae family, such as peppers and eggplants. It is transmitted by the sweet potato whitefly (Bemisia tabaci) and can cause significant yield losses in affected crops. 
TYLCV is primarily transmitted by the sweet potato whitefly (Bemisia tabaci), which feeds on infected plants and then spreads the virus to healthy plants as it feeds.
The virus can also be transmitted through infected plant material, including seeds and transplants.",Use only virus-and whitefly-free tomato and pepper transplants. Transplants should be treated with Capture (bifenthrin) or Venom (dinotefuran) for whitefly adults and Oberon for eggs and nymphs. Imidacloprid or thiamethoxam should be used in transplant houses at least seven days before shipping. Imidacloprid should be sprayed on the entire plant and below the leaves; eggs and flies are often found below the leaves. Spray every 14-21 days and rotate on a monthly basis with Abamectin so that the whiteflies do not build-up resistance to chemicals.,https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37, Mosaic Virus,"Mosaic virus is a group of plant viruses that cause a characteristic mottling or discoloration of leaves, often resembling a mosaic pattern. There are several different types of mosaic viruses that affect a wide range of plants, including vegetables, ornamentals, and agricultural crops.
Mosaic viruses are typically transmitted by several means, including insect vectors, contaminated tools or equipment, infected seeds or transplants, and mechanical transmission through physical contact.
Insects such as aphids, thrips, whiteflies, and leafhoppers are common vectors for mosaic viruses, transmitting the virus as they feed on infected plants and move between plants.","Use certified disease-free seed or treat your own seed.
Soak seeds in a 10% solution of trisodium phosphate (Na3PO4) for at least 15 minutes.
Or heat dry seeds to 158 �F and hold them at that temperature for two to four days.
Purchase transplants only from reputable sources. Ask about the sanitation procedures they use to prevent disease.
Inspect transplants prior to purchase. Choose only transplants showing no clear symptoms.
Avoid planting in fields where tomato root debris is present, as the virus can survive long-term in roots.
Wash hands with soap and water before and during the handling of plants to reduce potential spread between plants.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38, Healthy,"Vibrant Color: The foliage of a healthy plant is usually vibrant and consistent in color. Leaves should be green (or appropriate color for the species) without any signs of yellowing, browning, or discoloration.
Strong Growth: Healthy plants demonstrate vigorous growth with sturdy stems and branches. They develop new leaves and shoots regularly, showing an overall robust appearance.
Firm Texture: The leaves and stems of a healthy plant feel firm to the touch, indicating turgor pressure and proper hydration. Wilting or limp foliage may be a sign of stress or inadequate water uptake.
No Signs of Disease or Pests: Healthy plants are typically free from visible signs of disease, such as lesions, spots, or abnormal growths. They also show no evidence of pest infestations, such as chewed leaves, webbing, or insect activity.","The tomato (Solanum lycopersicum) is a fruit from the nightshade family native to South America.

Despite botanically being a fruit, it�s generally eaten and prepared like a vegetable.

Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer.

They are also a great source of vitamin C, potassium, folate, and vitamin K.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
